coef,term
5.02311460342,illeg alien
4.71109607044,south carolina
4.39365177148,job creator
4.30503545125,pass bill
3.70958048829,feder govern
3.4667368355,amend would
3.44573372998,rule law
3.30573297293,citizen unit state
3.15621295303,presid said
2.99636191691,full year
2.71575932622,nt need
2.68702727505,allow employ
2.68424527892,common ground
2.67060428172,unit state congress
2.66446121312,border secur
2.64557213069,nt take
2.64438739698,drug cartel
2.6405035116,obama administr
2.62835558855,peopl america
2.62450562871,job creat
