coef,term
5.69294285748,depart hous
4.77125160895,two year
4.2328174623,last week
4.14842611524,fanni mae
3.85412728314,hous commun
3.51309483855,amend would
3.46009877157,past year
3.24519916364,american peopl
3.11858888732,urg colleagu support
3.02707234904,continu work
2.43156973955,freddi mac
2.33255327922,hous program
2.10305212265,commun develop
2.04039907766,million dollar
1.61624807947,hard work
1.53244960166,ca nt
1.4608069804,feder govern
1.36523679063,hous financ
1.31909917786,public servic
1.20588551295,small busi
