coef,term
-7.17878314545,privat sector
-6.17811224592,work hard
-5.71179720359,hous urban
-5.6035761777,creat job
-5.16053284888,need help
-4.93722542702,across countri
-4.73580948355,stay home
-4.67057215557,loan modif
-4.33057901881,million american
-4.30975321057,feder state
-4.25413497584,new york
-3.98563600641,health care
-3.47043420032,low incom
-3.44462026462,hous develop
-3.37172497863,nonprofit organ
-3.01803516302,fiscal year
-2.72165743526,execut director
-2.48699213769,public hous
-2.22062097008,feder hous
-2.08777358602,interest rate
