coef,term
-7.14354994927,million american
-6.69260528857,web site
-6.04208602799,american public
-5.79118490334,local commun
-5.71567853349,go back
-5.6398547839,save live
-5.56364682454,access internet
-4.70334592386,public broadcast
-4.4521051523,research develop
-4.27981080347,right thing
-4.16159793702,fund corpor public
-3.93550460454,public servic
-3.76708906626,nt know
-3.43820425967,servic provid
-3.36455751052,nation space
-3.11299942958,open internet
-3.01221511436,white hous
-2.84822915518,across countri
-2.82484998823,move forward
-2.7069308609,first respond
