coef,term
5.57640026851,white hous
4.41167729628,trade agreement congress
3.94760579788,one best
3.39729737763,trade agreement sign
2.99493621819,could nt
2.91751047931,us trade agreement
2.89990212176,trade agreement us
2.84990015548,agreement unit state
2.78586543606,unemploy rate
2.70930261007,trade promot author
2.69885653154,america back work
2.67668217428,take place
2.65775619616,trade agreement colombia
2.59492611961,economi creat job
2.55879188226,creat job get
2.53793709537,privat sector
2.52673317664,need get
2.52279950235,also want
2.39181228939,job creat
2.38287016795,want see
