coef,term
-4.14940040964,fish industri
-3.12036344469,public safeti
-3.08435310982,rhode island
-3.07383073972,public work
-3.06619093421,local busi
-3.00241913382,public servic
-2.99036281537,health care
-2.96554786668,georg bush
-2.85890616293,million acr
-2.83278043149,help us
-2.82703837721,would prevent
-2.77858707894,million job
-2.64094417274,special interest
-2.57350192675,clean energi
-2.55301905401,committe environ public
-2.53295423355,air act
-2.49825110187,get bill
-2.49656537577,protect endang speci
-2.49015786482,san francisco
-2.43423026626,water level
