coef,term
-6.24089456053,middl class
-5.01905815876,deficit reduct
-4.62594623672,tax cut
-4.39339565563,tax break
-3.78972533735,republican colleagu
-3.47267996701,republican leader
-3.00158266366,reduc deficit
-2.57372390682,presid move
-2.35386687519,get done
-2.34737914797,hous republican
-2.34240476266,econom recoveri
-2.29922288845,republican budget
-2.2500113888,work famili
-2.24869918139,georg bush
-2.21881267547,presid ask unanim
-2.20505437476,laid upon tabl
-2.18887097458,make america
-2.17388870159,democrat republican
-2.16957335631,republican major
-2.13379244874,bush administr
