coef,term
-4.55371439297,lost job
-4.51067499483,middl class
-3.80397312799,trade polici
-3.64046923193,make thing
-3.4609074587,trade deficit
-3.40321835419,bush administr
-3.22140493308,peopl republ china
-3.07384253662,take away
-3.03222233093,countri world
-2.94154467208,lot peopl
-2.8792639376,turn back
-2.809754097,trade deal
-2.67211401564,good idea
-2.64528706514,mani time
-2.64211876549,nt get
-2.57076967505,job growth
-2.56862608473,trade adjust assist
-2.53929896385,american worker american
-2.53630083995,american peopl
-2.48927637046,manufactur job
