coef,term
3.21882682695,pass bill
2.59451291998,unit state congress
2.320348087,boy scout
2.26389383875,peopl state
2.24644056132,new member
2.20101237041,children grandchildren
2.1816053464,major leader
2.08098938717,thank gentleman yield
2.055314785,impact commun
2.04810589987,cut spend
2.02728166332,borrow money
2.01407166423,great honor
2.00219229286,commit work
1.99667574745,committe natur resourc
1.92890383019,today support
1.83473257737,number one
1.82911763835,honor one
1.80848692443,obama administr
1.77065402677,medal honor
1.7513241402,border patrol
