coef,term
2.94282279246,american citizen
2.90319834691,nation media
2.7763968698,fast furiou
2.72169978796,gentleman california mr
2.54877921176,judici circuit
2.52706822309,white hous
2.52469987089,madam chair
2.32257464146,move suspend rule
2.2622066542,fire chief
2.21474862161,justic scalia
2.19733620784,thank friend
2.181531554,even though
2.1585109767,concern mr
2.13724919189,border patrol
2.11444321145,member commun
2.11357318139,mr speaker
2.08181427441,constitut mean
2.07986265227,cut spend
2.02986001854,feder govern
1.95656510635,special agent
