coef,term
-5.37202832036,cut food
-4.99705254829,tax break
-4.87289024358,women infant children
-4.81098418166,work peopl
-4.34189092841,incom tax
-4.28846227712,four year
-4.28040658704,help need
-3.85195217305,famili member
-3.68411895107,safeti net
-3.49434033428,work togeth
-3.41896666666,two year
-3.36792088385,tax cut
-3.361879153,last month
-3.3208449403,human servic
-3.2941744235,countri world
-3.27138709534,move forward
-3.26523957355,past year
-3.26400671674,program help
-3.24998598209,rhode island
-3.17393079684,supplement nutrit assist
