coef,term
3.61027934427,move suspend rule
3.07106630521,speaker ask unanim
3.05284394905,follow senat
2.75191066275,legisl day
2.6132577148,would say
2.45717792264,ronald reagan
2.32881712272,inspector gener
2.18247403319,eagl scout
2.12101122858,mr speaker
2.12095794884,job creator
2.04532986255,mr speaker move
2.0217938186,pass budget
2.01943145106,texa mr
1.98864914134,unanim consent member
1.97877139759,rule pass bill
1.95658061,white hous
1.90482658719,repeal obamacar
1.82078475312,govern spend
1.72245400741,recess appoint
1.68302271444,thought prayer
