coef,term
-4.68125793524,vote right
-4.59531409323,sexual orient
-4.23357241318,us govern
-4.09004047047,look forward
-3.97922525117,elect offici
-3.92708363805,constitut protect
-3.77014067983,rank member
-3.73434372477,amend would
-3.72442731834,civil right
-3.4026843521,protect privaci
-3.30228497707,racial profil
-3.27974504427,wo nt
-3.17314352474,look forward work
-3.05543411269,million peopl
-2.94101918895,introduc bill
-2.83337321664,would requir
-2.82777004837,court decis
-2.77646194547,earlier year
-2.77411680054,voter fraud
-2.72526524148,nt take
