coef,term
7.91655554573,space center
7.30442020523,feder govern
5.35381871004,radio televis
5.30635358093,taxpay dollar
5.12865232311,internet servic
4.89953911605,high school
4.87864682359,local radio station
4.79601540292,everi day
4.69420622822,wireless broadband
4.58741380087,corpor public broadcast
4.58741380087,corpor public
4.36040098429,space flight
4.06651534689,broadband servic
3.75950828017,mani us
3.46808173323,first time
3.37537372477,broadband network
3.25782664317,bill pass
2.99216913028,space explor
2.95738602517,mani year
2.90969509021,radio televis station
