coef,term
-4.46055562115,tax cut
-4.27201891216,dream act
-4.09034749269,republican colleagu
-3.92734281227,make america
-3.5328076265,american job act
-3.53020436329,republican leader
-3.50142184991,middl class
-3.24281440359,role model
-3.02396477855,famili member
-2.97382997776,lost live
-2.90182961501,human right
-2.70897578022,tax credit
-2.7084450256,local commun
-2.63882329478,million peopl
-2.59708515426,help peopl
-2.57186579477,worker protect
-2.53884715149,thousand american
-2.52715151638,unemploy insur
-2.52604725213,take action
-2.5052101396,across nation
