coef,term
-6.51297648914,peopl countri
-5.97823049739,last farm bill
-5.93726619298,ve got
-5.86847500575,lot time
-5.41981843908,unit state depart
-5.11239149662,farmer market
-4.3265761351,next month
-4.22154825188,go forward
-4.13635302404,get done
-4.06287615267,ask unanim consent
-4.04646972706,also want
-3.87520991441,almost everi
-3.70080506667,everi one
-3.4156112952,wall street
-3.40370948335,find way
-3.38697006513,local farmer
-3.3853028228,food produc
-3.34854666372,hundr thousand
-3.32575362004,need help
-3.22447008676,put food tabl
