coef,term
9.04520228273,address issu
8.91346547778,year work
8.33722991377,make differ
8.05071308447,district work
7.86588189728,could nt
7.83103381401,would say
7.45539288597,govern program
7.42453841936,last sever
7.38724435494,food program
7.11699126637,increas spend
7.041102296,payrol tax
6.69857313904,scout america
6.40586417459,back commun
6.25316979041,welfar program
5.96065893118,go beyond
5.76155824828,obama administr
5.75599209865,tanf program
5.67104243443,give back
5.58882937968,throughout year
5.56195907353,difficult time
