coef,term
-3.35893631354,african american
-3.27053959338,energi natur resourc
-3.17220955816,offic build
-3.04220560308,pleas join
-2.4957040134,set asid
-2.46047989684,american public
-2.45684421614,democrat republican
-2.34601306344,fairfax counti
-2.27607445822,rollcal vote
-2.20575226214,indian affair
-2.19341525667,san francisco
-2.17809783669,urg colleagu join
-2.17528044751,made signific
-2.16909632435,great countri
-2.06234658522,public safeti
-2.04491462717,middl class
-2.01167403181,republican leader
-2.00347731789,big oil
-1.99786682871,want talk
-1.99122544827,san diego
