coef,term
-3.86358086447,pleas join
-3.6580914007,senat republican
-2.99409008132,republican leader
-2.85132821603,rhode island
-2.67725207064,san francisco
-2.60209764077,judici nomin
-2.57704459784,republican senat
-2.48773722771,bill would
-2.39200818718,gun violenc
-2.37670726198,civil right
-2.31815076487,cyber attack
-2.29685105628,new england
-2.25059980672,assault weapon
-2.2490537442,senat offic
-2.19354772388,young peopl
-2.16133206668,servic provid
-2.15991315088,pleas join honor
-2.15512366204,women act
-2.12531218833,hope senat
-2.07887875952,lost live
