coef,term
-6.52299735278,clean energi
-4.42976996718,oil compani
-3.42800155847,middl class
-3.06649706963,deepwat horizon
-3.02784659831,make america
-2.97089769899,rhode island
-2.9484378239,air pollut
-2.87843210774,climat chang
-2.73761388569,product tax credit
-2.63730066452,republican colleagu
-2.5931451417,public health
-2.57544738092,million acr
-2.55188278021,nuclear power plant
-2.54975970903,republican leadership
-2.52678309842,oil industri
-2.49435108315,oil spill
-2.36648982949,big oil
-2.36214663531,reduc deficit
-2.35790496146,oil market
-2.33018225913,tar sand
