coef,term
4.1600317448,tax increas
4.0821317686,rais tax
3.1618336688,speaker ask unanim
3.08882846312,american peopl
2.9417366511,presid obama
2.82214076944,debt crisi
2.79364078553,feder govern
2.63857971206,tax hike
2.52924186711,incom tax
2.50490940529,higher tax
2.49156567847,white hous
2.4342680354,live within
2.42144293573,presid budget
2.31437210206,may consid
2.24330548777,death tax
2.23176212758,spend reduct
2.17426179727,budget act
2.1518134171,within mean
2.12210340305,job creator
2.10747548037,live within mean
