coef,term
-2.84797231598,insur compani
-2.66575179462,second read
-2.30082218567,senat ask
-2.19861376437,tax cut
-2.13204291016,announc senat
-2.1183030009,tax break
-2.04555572768,end medicar
-2.04235679492,laid upon tabl
-2.02569477075,jackson lee
-1.9919679686,women health
-1.97856866076,unanim consent senat
-1.9559979499,new york
-1.95554599514,without object order
-1.95482448294,prescript drug
-1.90435537225,preexist condit
-1.81914679154,pleas join
-1.81235190785,presid move
-1.81224390361,middl class
-1.69730299636,republican budget
-1.6639342155,current form
