coef,term
-2.99373859449,pleas join
-2.51832759777,intellig author
-2.47785712661,arm servic author
-2.19046523676,laid upon tabl
-2.10945544107,war afghanistan
-1.92145337656,announc senat
-1.88911725732,middl class
-1.87122718076,motion reconsid laid
-1.7939053702,rhode island
-1.76566784818,washington state
-1.71809750834,war iraq
-1.69950534458,homeland secur government
-1.69383227183,japanes american
-1.65725899516,african american
-1.65332397606,secur government affair
-1.64972421834,san francisco
-1.64972145912,government affair
-1.64322276774,fisa amend act
-1.63268485123,republican colleagu
-1.63140726239,speaker pleas
