coef,term
-6.06202871223,new york recogn
-6.06202871223,york recogn
-4.99440848786,rhode island
-4.92663115258,creat job
-4.81410048863,senat hutchison
-4.77421776013,mr tonko
-4.63906678919,fair share
-4.57889344427,dedic servic
-4.57496682552,path forward
-4.52946474011,vote would
-4.39926897931,save live
-4.37929716829,help other
-4.32158949511,reclaim time
-4.28456387313,hous republican
-4.28259774121,virginia mr
-4.28252938012,public servant
-4.1207532563,public transit
-4.09696205265,road bridg
-4.05192582098,light rail
-4.03070053228,one project
