coef,term
-3.71577885562,middl class
-3.10927904105,tax break
-3.10743229681,republican colleagu
-2.99419489545,wall street
-2.90283400813,insur compani
-2.76280013367,pleas join
-2.75856687565,tax cut
-2.56399950101,rhode island
-2.31370989083,new york
-2.25394510574,rest live
-2.23991845893,republican leader
-2.21286581791,credit union
-2.20174270111,reduc deficit
-2.1779546156,american job act
-2.13622653605,senat snow
-2.09069714718,work famili
-2.03995137216,mr presid ask
-2.01435690546,consum protect
-2.00579968426,stock option
-1.9459017711,tax loophol
