coef,term
3.72575310493,new regul
3.32730456733,north dakota
3.32009230739,ga price
3.21084716954,highlevel nuclear wast
3.03702600541,improv water qualiti
2.87865272556,ve done
2.82373363139,increas cost
2.82182319637,citi town
2.82075432196,enough money
2.79808202017,health benefit
2.78624647096,said would
2.77588168902,econom impact
2.7583865973,would like offer
2.7244259782,execut order
2.7095863889,govern spend
2.68151964459,environment review
2.64338148105,regulatori agenc
2.64210396897,lose job
2.60397964081,west virginia
2.59196016062,job creation
