coef,term
-2.84965301662,middl class
-2.78917626871,mr presid ask
-2.73820586691,foreign relat
-2.69393094742,committe foreign relat
-2.65014791079,mr presid yield
-2.64267392531,million peopl
-2.60102575855,dalai lama
-2.5801305014,close relationship
-2.55940080384,el salvador
-2.51372285931,women children
-2.48100266614,innoc peopl
-2.42632195896,motion reconsid laid
-2.40442232737,israelipalestinian conflict
-2.39346381997,san francisco
-2.35378041932,risk live
-2.30920555374,clean water
-2.29919761361,pay tribut
-2.29613692837,justic system
-2.29215143385,food secur
-2.27956904004,high school
