coef,term
-3.91051793269,head start
-3.36158572418,middl class
-3.2239965327,baptist church
-3.02767428891,forprofit school
-2.78388960851,earli childhood
-2.57518003488,el paso
-2.50610408918,rhode island
-2.48521398129,pell grant
-2.47882991346,best practic
-2.44531473314,scienc educ
-2.39712258894,tax cut
-2.31408841058,new york
-2.2813788254,civil right
-2.23673237631,make educ
-2.2316104887,receiv award
-2.20152210863,health educ
-2.17083256118,republican colleagu
-2.15543677175,commun servic
-2.14413782575,develop work
-2.13470832363,rest live
