coef,term
5.25528162345,job creator
3.80647041016,senat illinoi
3.46889804511,rais tax
3.43819308633,feder govern
2.82635818225,follow senat
2.59650110749,tax hike
2.57889513921,pass bill
2.53776741436,white hous
2.31239273942,job creation
2.26871126324,new regul
2.17989123296,small busi owner
2.14996027111,spend money
2.14721648516,health care law
2.14721648516,care law
2.12176175114,regulatori burden
2.04041685707,govern regul
2.0339891246,taxpay dollar
1.99590592513,cut spend
1.95968307648,state main
1.93812503286,wall street journal
