coef,term
2.97962394775,fiscal year
2.90310082687,administr feder
2.88711231664,spend money
2.66886310455,children grandchildren
2.61449798025,feder court
2.61348173486,depart transport
2.59158537087,hous floor
2.56602186248,intern revenu code
2.54659061456,air transport
2.50501773635,thought prayer
2.49663693705,gener aviat
2.45691679486,would like
2.44429351012,pass bill
2.43928463852,air carrier
2.43221613653,extrem import
2.41772727813,support bill
2.36014204721,project nt
2.28553280792,environment review
2.19371185603,european union
2.16310345709,hous senat
