coef,term
4.23520119556,unit state congress
3.08540724014,job creation
2.93131891021,health care law
2.93131891021,care law
2.74027415989,thank mr
2.71293534748,georg washington
2.68282695821,rais tax
2.51199016242,univers texa
2.39963034071,serv student
2.32116179536,year servic
2.32060440118,offer student
2.31118330722,child left behind
2.28764653969,school board
2.28637853248,behalf unit state
2.2736192991,commun countri
2.26661356213,local school
2.17057222126,care bill
2.15979286002,good friend
2.15109597215,strateg plan
2.13737710354,school choic
